52411681252,2022:10:07 16:12:01,2022:10:07 16:12:01,2022:10:07 16:12:01,15.2.1,2.869999885mm f/2.2,iPhone 8 front camera 2.87mm f/2.2,,100,1/60,2.2,2.9 mm,32 mm,3.741970903,
52992659414,2023:02:02 17:02:33,2023:02:02 17:02:33,2023:02:02 17:02:33,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,500,1/30,1.8,4.0 mm,28 mm,-0.2639397534,2015 1511 2217 1330
52522060269,2022:05:28 22:02:45,2022:05:28 22:02:45,2022:05:28 22:02:45,Slow Shutter Cam by Cogitap Software,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,1.02,2000,1/15,1.8,4.0 mm,28 mm,-5.360959083,
53008117362,2023:06:24 10:01:57,2023:06:24 10:01:57,2023:06:24 10:01:57,Instagram,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,1.02,32,1/30,1.8,4.0 mm,28 mm,3.732919255,2015 1511 2217 1330
52992379706,2023:03:30 12:49:41,2023:03:30 12:49:41,2023:03:30 12:49:41,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,32,1/24,1.8,4.0 mm,28 mm,3.482574136,3566 297 528 529
52406285035,2022:08:20 11:21:35,2022:08:20 11:21:35,2022:08:20 11:21:35,Slow Shutter Cam by Cogitap Software,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,1.02,32,1/104,1.8,4.0 mm,28 mm,5.870033877,
52992610859,2023:02:28 15:10:41,2023:02:28 15:10:41,2023:02:28 15:10:41,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,125,1/4,1.8,4.0 mm,28 mm,-2.178811582,2015 1511 2217 1330
52419359960,2022:10:10 14:57:35,2022:10:10 14:57:35,2022:10:10 14:57:35,Instagram,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,1.02,50,1/40,1.8,4.0 mm,96 mm,3.610253794,
52996873045,2023:06:22 18:53:21,2023:06:22 18:53:21,2023:06:22 18:53:21,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,64,1/16,1.8,4.0 mm,28 mm,1.625600512,2015 1511 2217 1330
52423672149,2022:10:12 12:45:11,2022:10:12 12:45:11,2022:10:12 12:45:11,15.2.1,2.869999885mm f/2.2,iPhone 8 front camera 2.87mm f/2.2,,160,1/45,2.2,2.9 mm,32 mm,2.683592338,
52479788914,2022:11:05 03:25:46,2022:11:05 03:25:46,2022:11:05 03:25:46,15.2.1,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,250,1/4,1.8,4.0 mm,28 mm,-3.193402778,2015 1511 2217 1330
52991886892,2023:02:17 19:09:21,2023:02:17 19:09:21,2023:02:17 19:09:21,16.1.2,2.869999885mm f/2.2,iPhone 8 front camera 2.87mm f/2.2,,2000,1/15,2.2,2.9 mm,32 mm,-4.170210372,
52989087187,2023:05:03 15:21:31,2023:05:03 15:21:31,2023:05:03 15:21:31,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,40,1/120,1.8,4.0 mm,28 mm,5.520121951,2015 1511 2217 1330
52992379991,2023:03:29 21:12:18,2023:03:29 21:12:18,2023:03:29 21:12:18,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,320,1/4,1.8,4.0 mm,28 mm,-3.58860203,2015 1511 2217 1330
53011487085,2023:06:29 11:05:44,2023:06:29 11:05:44,2023:06:29 11:05:44,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,40,1/15,1.8,4.0 mm,28 mm,1.74961227,2198 955 753 756
52992743480,2023:04:06 17:39:06,2023:04:06 17:39:06,2023:04:06 17:39:06,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,64,1/15,1.8,4.0 mm,28 mm,1.562476081,2015 1511 2217 1330
52408642253,2022:08:16 12:24:17,2022:08:16 12:24:17,2022:08:16 12:24:17,Slow Shutter Cam by Cogitap Software,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,1.02,20,1/56,1.8,4.0 mm,28 mm,8.702018203,
53127146247,2023:08:11 20:40:09,2023:08:11 20:40:09,2023:08:11 20:40:09,16.1.2,2.869999885mm f/2.2,iPhone 8 front camera 2.87mm f/2.2,,1600,1/16,2.2,2.9 mm,32 mm,-3.195431308,
52991853447,2023:03:14 14:38:01,2023:03:14 14:38:01,2023:03:14 14:38:01,16.1.2,3.99mm f/1.8,iPhone 8 back camera 3.99mm f/1.8,,40,1/30,1.8,4.0 mm,28 mm,3.417192564,2015 1511 2217 1330
